numbers,file_path
9,media/digits_only/loop_00000k.jpg
61,media/digits_only/loop_00000pr.jpg
10,media/digits_only/loop_00001k.jpg
59,media/digits_only/loop_00001pr.jpg
10,media/digits_only/loop_00002k.jpg
59,media/digits_only/loop_00002pr.jpg
10,media/digits_only/loop_00003k.jpg
59,media/digits_only/loop_00003pr.jpg
10,media/digits_only/loop_00004k.jpg
59,media/digits_only/loop_00004pr.jpg
10,media/digits_only/loop_00005k.jpg
59,media/digits_only/loop_00005pr.jpg
10,media/digits_only/loop_00006k.jpg
60,media/digits_only/loop_00006pr.jpg
10,media/digits_only/loop_00007k.jpg
60,media/digits_only/loop_00007pr.jpg
10,media/digits_only/loop_00008k.jpg
60,media/digits_only/loop_00008pr.jpg
10,media/digits_only/loop_00009k.jpg
b,media/digits_only/loop_00009pr.jpg
10,media/digits_only/loop_00010k.jpg
56,media/digits_only/loop_00010pr.jpg
10,media/digits_only/loop_00011k.jpg
56,media/digits_only/loop_00011pr.jpg
10,media/digits_only/loop_00012k.jpg
56,media/digits_only/loop_00012pr.jpg
10,media/digits_only/loop_00013k.jpg
b,media/digits_only/loop_00013pr.jpg
10,media/digits_only/loop_00014k.jpg
b,media/digits_only/loop_00014pr.jpg
e,media/digits_only/loop_00015k.jpg
n,media/digits_only/loop_00015pr.jpg
10,media/digits_only/loop_00016k.jpg
50,media/digits_only/loop_00016pr.jpg
10,media/digits_only/loop_00017k.jpg
50,media/digits_only/loop_00017pr.jpg
e,media/digits_only/loop_00018k.jpg
b,media/digits_only/loop_00018pr.jpg
e,media/digits_only/loop_00019k.jpg
b,media/digits_only/loop_00019pr.jpg
10,media/digits_only/loop_00020k.jpg
49,media/digits_only/loop_00020pr.jpg
10,media/digits_only/loop_00021k.jpg
49,media/digits_only/loop_00021pr.jpg
11,media/digits_only/loop_00022k.jpg
47,media/digits_only/loop_00022pr.jpg
b,media/digits_only/loop_00023k.jpg
n,media/digits_only/loop_00023pr.jpg
n,media/digits_only/loop_00024k.jpg
n,media/digits_only/loop_00024pr.jpg
11,media/digits_only/loop_00025k.jpg
39,media/digits_only/loop_00025pr.jpg
11,media/digits_only/loop_00026k.jpg
39,media/digits_only/loop_00026pr.jpg
11,media/digits_only/loop_00027k.jpg
39,media/digits_only/loop_00027pr.jpg
11,media/digits_only/loop_00028k.jpg
37,media/digits_only/loop_00028pr.jpg
11,media/digits_only/loop_00029k.jpg
37,media/digits_only/loop_00029pr.jpg
11,media/digits_only/loop_00030k.jpg
37,media/digits_only/loop_00030pr.jpg
11,media/digits_only/loop_00031k.jpg
37,media/digits_only/loop_00031pr.jpg
15,media/digits_only/loop_00032k.jpg
36,media/digits_only/loop_00032pr.jpg
15,media/digits_only/loop_00033k.jpg
35,media/digits_only/loop_00033pr.jpg
12,media/digits_only/loop_00034k.jpg
33,media/digits_only/loop_00034pr.jpg
12,media/digits_only/loop_00035k.jpg
33,media/digits_only/loop_00035pr.jpg
